method,rouge1_min,rouge1_max,rouge1_mean,rouge1_std,rouge2_min,rouge2_max,rouge2_mean,rouge2_std,rougeL_min,rougeL_max,rougeL_mean,rougeL_std,roberta_precision_min,roberta_precision_max,roberta_precision_mean,roberta_precision_std,roberta_recall_min,roberta_recall_max,roberta_recall_mean,roberta_recall_std,roberta_f1_min,roberta_f1_max,roberta_f1_mean,roberta_f1_std,deberta_precision_min,deberta_precision_max,deberta_precision_mean,deberta_precision_std,deberta_recall_min,deberta_recall_max,deberta_recall_mean,deberta_recall_std,deberta_f1_min,deberta_f1_max,deberta_f1_mean,deberta_f1_std,meteor_min,meteor_max,meteor_mean,meteor_std,bleu_min,bleu_max,bleu_mean,bleu_std,content_coverage_min,content_coverage_max,content_coverage_mean,content_coverage_std,alignscore_min,alignscore_max,alignscore_mean,alignscore_std,summac_min,summac_max,summac_mean,summac_std,factcc_min,factcc_max,factcc_mean,factcc_std,minicheck_ft5_min,minicheck_ft5_max,minicheck_ft5_mean,minicheck_ft5_std,minicheck_7b_min,minicheck_7b_max,minicheck_7b_mean,minicheck_7b_std,exec_time_min,exec_time_max,exec_time_mean,exec_time_std,length_min,length_max,length_mean,length_std,length_within_bounds_pct,length_too_short_pct,length_too_long_pct
local:textrank,0.0,0.5904761904761905,0.2571800284002586,0.10596374627857286,0.0,0.3773584905660377,0.07580915596978775,0.07114203346277945,0.0,0.47761194029850745,0.18111399218074467,0.07894220919333765,0.7853671908378601,0.9504483938217163,0.8667168715000153,0.02527875370405309,0.7744002342224121,0.909418523311615,0.8429067068099976,0.02427580347523285,0.7850099205970764,0.9253532886505127,0.854462492287159,0.021388124568741746,0.4348413944244385,0.8617187142372131,0.6381877253353596,0.05560275274336278,0.3821747899055481,0.7355891466140747,0.5634185101985931,0.05617676270232957,0.4239291250705719,0.7499377727508545,0.5972653009295463,0.04951038747386538,0.0,0.4140957919034091,0.12012955960118196,0.07481774646596825,1.1301929225749457e-78,0.6370064599604247,0.2214947429188905,0.1324737745437929,0.2577027678489685,0.9892241954803467,0.7322021297812462,0.12448426776013849,0.04339687153697014,0.9995681643486023,0.9721535014435649,0.06639501260376622,-0.0107421875,0.992368221282959,0.7226878533363342,0.2547963368405054,0.009944720193743706,0.9999849796295166,0.997727583435364,0.044315773309123424,0.18960517644882202,0.9900750517845154,0.9634327973723411,0.057218675256651697,0.0,1.0,0.999,0.03160696125855822,1.5497207641601562e-05,0.004940986633300781,0.001577462911605835,0.00033350712366051995,6.0,76.0,24.81,9.617270922668238,91.3,8.7,0.0
local:frequency,0.0,0.7555555555555555,0.2778624888196382,0.10681296064323849,0.0,0.6818181818181818,0.08845839069455712,0.0824687286277566,0.0,0.7555555555555555,0.19870859177747074,0.0855941918860497,0.7932153940200806,0.9504484534263611,0.874261552453041,0.025419460894074618,0.7743586301803589,0.9305534362792969,0.8477133563160897,0.023943079960034495,0.795884370803833,0.9377739429473877,0.8606110943555831,0.02151673330050545,0.4487519860267639,0.8621164560317993,0.6473774076402188,0.057477756466165944,0.3821748197078705,0.826885998249054,0.5719658265709877,0.05565710168723587,0.4239291548728943,0.8282442092895508,0.6061604139506817,0.050259295661518405,0.0,0.6306188925081434,0.13353962875129718,0.0827266253110734,0.0003561526699483702,0.7538203973965255,0.2197491332733261,0.13294418965719085,0.20271258056163788,0.9859619140625,0.732533094316721,0.12122469228364696,0.05590411648154259,0.9991341233253479,0.9735416147150099,0.05623418904229991,-0.00244140625,0.992368221282959,0.6951842303276062,0.2630606248287893,0.0007675213273614645,0.9999849796295166,0.9968152364285197,0.05379169007431876,0.18960517644882202,0.9902713894844055,0.9649095826670527,0.053172863055271434,0.0,1.0,0.9973333333333334,0.0440151489073175,1.811981201171875e-05,0.002612590789794922,0.001131727695465088,0.0002978293749648452,6.0,66.0,23.85,8.477352180958391,93.60000000000001,6.4,0.0
huggingface_facebook/bart-large-cnn,0.02631578947368421,0.6352941176470588,0.31552087413695334,0.09968706872436443,0.0,0.4415584415584415,0.09774859919896943,0.07649558625894826,0.02631578947368421,0.5063291139240507,0.2100603595941958,0.0787985469791058,0.7843353748321533,0.9493620991706848,0.8642790751457214,0.02411807115669155,0.7683676481246948,0.9183381199836731,0.8563381059169769,0.02299014536278808,0.7985994815826416,0.9235836863517761,0.8601503058671951,0.020853389928553494,0.472299724817276,0.8262851238250732,0.6361526532173156,0.05484971719994943,0.4309653639793396,0.7649662494659424,0.6037320713698864,0.05357472104335729,0.45416200160980225,0.7722808122634888,0.618665889531374,0.04896993010044575,0.0,0.5238589211618258,0.16804359613024153,0.08373252771451403,0.006138137551045913,0.6261181010052054,0.3486205716108469,0.11435751693292973,0.4827307462692261,0.9932049512863159,0.8452247186303139,0.0760970163639577,0.03227030113339424,0.9970777034759521,0.968871009040624,0.056551046781364134,-0.17702484130859375,0.993858814239502,0.675917887210846,0.20993697703022804,9.405014861840755e-05,0.9999852180480957,0.9507224776583898,0.20033548202300905,0.5025139525532722,0.9884555637836456,0.9638490265391767,0.041919115875298174,0.0,1.0,0.9853000000000001,0.10036886967581134,0.5270059013366699,0.5270059013366699,0.52700590133667,1.1102230246251565e-16,10.0,85.0,35.858,10.574584436279281,97.89999999999999,2.1,0.0
huggingface_facebook/bart-base,0.07547169811320754,0.6174496644295302,0.32323591310410277,0.07433876776262346,0.0,0.3655913978494624,0.10238294790131387,0.059502798109500675,0.06289308176100629,0.41935483870967744,0.1873763811547878,0.04863441435004349,0.7685126066207886,0.8834584951400757,0.8330344747900963,0.016049899648264428,0.7911507487297058,0.9276562929153442,0.8680160351991654,0.019662322010211744,0.7921003103256226,0.9005742073059082,0.8500751096606255,0.015585734902870142,0.4194020628929138,0.689154863357544,0.5581118733286857,0.0356547833522766,0.48165473341941833,0.8108960390090942,0.6340931620299816,0.046700003995630186,0.44837796688079834,0.724953830242157,0.5932482833266258,0.03745439754818594,0.04960317460317461,0.6088737201365187,0.24470332607597373,0.0822409961055182,0.1454446436972265,0.6486795794900565,0.2955006560232247,0.06372839783394407,0.7347773909568787,0.9976511597633362,0.940195081114769,0.03397747041531336,0.06736328452825546,0.9876773357391357,0.729496947221458,0.19028323584241733,-0.622467041015625,0.9523366292317709,0.3769123935608637,0.29121374912358255,1.1870886737597175e-05,0.9999641180038452,0.7631137365438936,0.38637064800749926,0.053796228021383286,0.9801737467447916,0.7832868905223995,0.18654504033543115,0.0,1.0,0.6474166666666666,0.2849820356254964,0.5054870254993439,0.5054870254993439,0.5054870254993438,1.1102230246251565e-16,34.0,133.0,95.785,13.987450625471391,62.5,0.0,37.5
huggingface_google-t5/t5-base,0.05555555555555555,0.6582278481012659,0.30456028305045607,0.09841022046005383,0.0,0.49350649350649345,0.0971175458788502,0.07898195923193771,0.04878048780487805,0.5822784810126581,0.21245856671851443,0.08154432246037108,0.7923278212547302,0.9417355060577393,0.8683571481704712,0.02366149878680452,0.7821872234344482,0.9173211455345154,0.8517905751466751,0.021392348253514003,0.804803192615509,0.9264910817146301,0.8598643416166305,0.0199058567639082,0.47656434774398804,0.8336476683616638,0.6416209535598755,0.05418996053153022,0.38873010873794556,0.7753776907920837,0.590482856452465,0.05103520042909912,0.45445072650909424,0.7971958518028259,0.614273906737566,0.048229726702722645,0.010706638115631693,0.5078504964486943,0.14989027791133655,0.07616653762699273,0.0012124247163209261,0.6368255188440861,0.2991432013403695,0.11417073031253903,0.38273316621780396,0.9762997627258301,0.8014021598994732,0.08694940816695619,0.11381813883781433,0.9986170530319214,0.9093978139460087,0.11225417368131088,-0.9295883178710938,0.9918594360351562,0.5894806551933288,0.2542427633769222,1.1965109479206149e-05,0.9999814033508301,0.8494621225227938,0.3308130756028852,0.19693242758512497,0.9872890412807465,0.9535687399332723,0.0717580659243351,0.0,1.0,0.9754166666666666,0.11061617196413914,0.3825006847381592,0.3825006847381592,0.3825006847381592,0.0,9.0,57.0,28.466,6.9900532186815285,97.8,2.1999999999999997,0.0
huggingface_google-t5/t5-large,0.030303030303030307,0.6666666666666666,0.31294269972666644,0.10335568994637301,0.0,0.4634146341463415,0.10248645336342826,0.08163282264225401,0.027777777777777776,0.5396825396825397,0.2137704220058894,0.08501249854757074,0.7826133966445923,0.9415901899337769,0.8675443143248558,0.023352408489680548,0.7686486840248108,0.9205191731452942,0.8539655466675758,0.021910427007512123,0.8040347695350647,0.9264909625053406,0.8605712106227875,0.02003193569787079,0.48213595151901245,0.8336477279663086,0.6413430504798889,0.05240817712415965,0.3452468812465668,0.8031502962112427,0.5970313917100429,0.051304958880049815,0.4132934510707855,0.7971957921981812,0.6176605617105961,0.04752027976759929,0.01231527093596059,0.5198717683367139,0.16223573687507842,0.08421850082693123,0.012581616800300004,0.6589029870818096,0.3348958580541924,0.1134197545921709,0.45722460746765137,0.977636992931366,0.8287238575816155,0.07754490622520292,0.020646965131163597,0.9970647692680359,0.8997954498585313,0.12203844396676272,-0.624542236328125,0.9948816299438477,0.6192244019508362,0.2423119437768386,1.581178730702959e-05,0.9999827146530151,0.8578692318949798,0.3260550258171244,0.5393137708306313,0.9877803325653076,0.9589001457790535,0.05481785485875784,0.0,1.0,0.9793333333333333,0.10187465064698109,0.8636142697334289,0.8636142697334289,0.8636142697334287,2.220446049250313e-16,10.0,60.0,31.547,7.7755894310335085,98.8,1.2,0.0
huggingface_csebuetnlp/mT5_multilingual_XLSum,0.0,0.5135135135135135,0.19402797396303675,0.08141079858326772,0.0,0.3255813953488372,0.04226421484528963,0.0457011977044438,0.0,0.40540540540540543,0.1408671599347714,0.05910322523205928,0.795956552028656,0.9259108304977417,0.8593551094532013,0.022094526876829,0.7509751319885254,0.896124005317688,0.8226522201895714,0.021698938447801425,0.7812504172325134,0.8983352184295654,0.8404986595511437,0.019799637366025795,0.47456640005111694,0.7964049577713013,0.6241888489127159,0.04908045650730797,0.33519041538238525,0.6840261220932007,0.5099971769750118,0.05261028995864153,0.42992278933525085,0.7056787610054016,0.5605827556550502,0.04797896396223784,0.0,0.28780395136778114,0.08531856417403225,0.049541711682661096,1.1622275951579881e-78,0.3991340209725552,0.10121629136739288,0.07144409935373434,0.042516402900218964,0.9563400745391846,0.6251545928195119,0.15158038133973767,0.0003832838265225291,0.9978285431861877,0.35732782535004665,0.3621322779317412,-0.98065185546875,0.926544189453125,-0.1959496638774872,0.3035118969924721,2.7767691790359095e-05,0.9999626874923706,0.7235858073282289,0.40097666795715947,0.003999920561909676,0.9867070317268372,0.3577632907324005,0.38271044742920934,0.0,1.0,0.141,0.3385542792522345,0.30039346385002136,0.30039346385002136,0.3003934638500213,5.551115123125783e-17,12.0,36.0,20.683,3.9406231740677766,97.7,2.3,0.0
huggingface_google/pegasus-xsum,0.0,0.5573770491803279,0.24481473971985673,0.09113599292764578,0.0,0.4727272727272728,0.07003434063424165,0.0664381440732443,0.0,0.456140350877193,0.17701426161378517,0.0713946465669327,0.7670784592628479,0.9454637169837952,0.8744995215535164,0.024924404027689404,0.7637944221496582,0.908784031867981,0.8402217394709587,0.021918260087710573,0.7691128253936768,0.9192008376121521,0.8568833460211753,0.020807666949617543,0.4867810010910034,0.8265151381492615,0.660447414547205,0.05678413481170427,0.37545156478881836,0.7245225310325623,0.5547514523863792,0.050619438985517344,0.44138842821121216,0.7487059235572815,0.6021769979894162,0.048816415991043756,0.0,0.3794248935949341,0.10904019169784297,0.06122580168743529,9.90295256670422e-79,0.5293817567464958,0.1526554592601231,0.09599951322716896,0.20326991379261017,0.9774750471115112,0.7675130191296339,0.1051090965717018,0.000420861120801419,0.9983445405960083,0.7456541101054754,0.34565578151520804,-0.9840240478515625,0.9845733642578125,0.23096896982192994,0.4615396835486946,8.77347065397771e-06,0.9999845027923584,0.7752500067811843,0.39498640853120676,0.006629609502851963,0.9930850267410278,0.8114401995623485,0.32198307200773946,0.0,1.0,0.76,0.4270831300812524,0.33774852418899537,0.33774852418899537,0.3377485241889954,5.551115123125783e-17,7.0,56.0,19.915,5.381057052290005,88.9,11.1,0.0
huggingface_google/pegasus-large,0.07317073170731707,0.5904761904761905,0.31258721106800996,0.09209781669585719,0.0,0.41791044776119407,0.09973951906802289,0.07306102798507877,0.051948051948051945,0.5,0.20781148077913475,0.0701511892435972,0.7795028686523438,0.934267520904541,0.8654415905475616,0.023187757093804766,0.7741498947143555,0.9207122325897217,0.8559984447956085,0.02007041049945954,0.7982955574989319,0.918858528137207,0.8605373433232307,0.01832538642294052,0.4690350592136383,0.8238046765327454,0.6317802867293358,0.05298831961261102,0.41404950618743896,0.7975664138793945,0.5912040785551071,0.04610877870147162,0.46586447954177856,0.8011206388473511,0.6099641324579715,0.04386746319902678,0.010683760683760684,0.4920107577914886,0.15990034984047566,0.07577495473157839,0.023856500461400518,0.6116933056489965,0.3240098252068426,0.1118910024539385,0.15673348307609558,0.9963936805725098,0.8020613056719303,0.11235855292712889,0.0006559103494510055,0.9991341233253479,0.8930450178332394,0.1515396945873976,-0.52532958984375,0.9885826110839844,0.7144642473856607,0.2477832673973406,9.952879918273538e-05,0.9999856948852539,0.977988925594269,0.1337855234450697,0.02843056619167328,0.9900021851062775,0.9244317660356562,0.11725085724825143,0.0,1.0,0.9436666666666667,0.22532421086070623,0.7681971638202667,0.7681971638202667,0.7681971638202666,1.1102230246251565e-16,11.0,104.0,32.628,11.414622902225021,98.8,1.0999999999999999,0.1
huggingface_google/pegasus-cnn_dailymail,0.05555555555555555,0.6756756756756757,0.3013740856740745,0.09944372507237033,0.0,0.5,0.09984816723084423,0.07847840766986017,0.030303030303030304,0.5675675675675675,0.20947993020174918,0.0809005177779014,0.793056070804596,0.9544420838356018,0.8733321568369865,0.026231950421111927,0.7548102140426636,0.9210858345031738,0.8535232610702514,0.021839719887528062,0.7966893315315247,0.9339407086372375,0.8631481368541718,0.02092205755676208,0.46373945474624634,0.8423959016799927,0.6567737060785294,0.058646866482940485,0.37812429666519165,0.7495692372322083,0.5917119891941547,0.050688386347313014,0.4227370023727417,0.7735812664031982,0.6214751808643341,0.04791213217982638,0.011655011655011656,0.4921506996397893,0.1470640673493107,0.0760907127348125,0.003354019936112151,0.5771166816244089,0.27528133168405305,0.1260619980014616,0.42680448293685913,0.9837950468063354,0.8243978899121285,0.08080240276150676,0.004729028325527906,0.9980210065841675,0.9387161053023301,0.13936204523628312,-0.63958740234375,0.9923629760742188,0.6212209264437358,0.25826194509703226,1.4026270946487784e-05,0.9999845027923584,0.9069471446244607,0.2720653248367626,0.027526402845978737,0.9888521134853363,0.9533763815499842,0.1011723989418544,0.0,1.0,0.9548333333333333,0.1786958154083202,0.5318147778511048,0.5318147778511048,0.531814777851105,2.220446049250313e-16,8.0,72.0,26.953,8.971108682877496,91.4,8.6,0.0
