method;Lexical Rank;Semantic Rank;Factual Rank;Performance Rank
Apertus-8B-Instruct;17;17;15;9
bart-base;49;42;55;53
bart-large-cnn;50;49;3;43
claude-3-5-haiku;23;27;43;28
claude-sonnet-4;14;8;44;19
claude-opus-4;40;11;39;32
claude-opus-4-1;43;13;45;35
deepseek-r1:1.5b;44;40;47;46
deepseek-r1:7b;38;26;38;34
deepseek-r1:8b;41;47;46;47
deepseek-r1:14b;22;25;34;23
gemma3:270M;42;38;35;40
gemma3:1b;39;31;42;37
gemma3:4b;27;15;31;21
gemma3:12b;34;19;37;27
gemma3-tools:4b;20;22;27;15
gpt-3.5-turbo;21;21;11;7
gpt-4o;7;32;30;20
gpt-4o-mini;19;14;19;10
gpt-4.1;12;36;49;36
gpt-4.1-mini;10;33;48;33
gpt-oss:20b;32;45;50;42
gpt-5-nano;3;30;41;22
gpt-5-mini;9;35;53;38
gpt-5;36;44;51;44
biogpt;60;59;58;58
granite3.3:2b;33;4;13;14
granite3.3:8b;18;9;26;11
granite4:tiny-h;16;3;18;5
granite4:small-h;13;18;21;13
granite4:micro;11;29;36;24
granite4:micro-h;28;10;28;16
led_large_16384_arxiv_summarization;45;41;20;41
llama3.1:8b;29;23;14;18
llama3.2:1b;37;24;29;29
llama3.2:3b;31;12;22;17
medllama2:7b;48;52;56;54
OpenBioLLM-Llama3-8B;61;62;59;60
mistral:7b;26;5;9;4
mistral-nemo:12b;4;16;32;8
mistral-small3.2:24b;1;7;24;1
mistral-small-2506;2;2;25;2
mistral-medium-2505;5;6;23;3
mistral-large-2411;8;20;17;6
magistral-medium-2509;6;39;33;26
BioMistral-7B;30;37;16;31
pegasus-xsum;59;55;54;57
pegasus-cnn_dailymail;54;50;5;51
pegasus-large;52;54;4;49
pegasus-pubmed;55;58;61;59
bigbird-pegasus-large-pubmed;58;60;62;61
phi3:3.8b;46;34;57;50
phi4:14b;35;1;12;12
SciLitLLM1.5-7B;47;46;8;39
SciLitLLM1.5-14B;15;43;10;25
qwen3:4b;25;48;52;45
qwen3:8b;24;28;40;30
t5-base;53;53;7;52
t5-large;51;51;6;48
mT5_multilingual_XLSum;62;61;60;62
frequency;56;56;2;55
textrank;57;57;1;56
