Metric,Coherence,Fluency,Relevance,Consistency
ROUGE-1,0.725,0.633,0.774,0.648
ROUGE-2,0.724,0.637,0.731,0.637
ROUGE-L,0.759,0.668,0.794,0.711
METEOR,0.668,0.586,0.767,0.634
BLEU,0.575,0.500,0.715,0.528
RoBERTa,0.792,0.732,0.810,0.734
DeBERTa,0.788,0.726,0.836,0.739
all-mpnet-base-v2,0.774,0.760,0.804,0.824
AlignScore,0.755,0.758,0.771,0.774
SummaC,0.679,0.612,0.669,0.688
FactCC,0.089,0.057,-0.042,0.079
MiniCheck-FT5,0.725,0.711,0.742,0.744
MiniCheck-7B,0.809,0.793,0.847,0.813
Judge-Coherence,0.877,0.867,0.879,0.883
Judge-Fluency,0.868,0.865,0.834,0.868
Judge-Relevance,0.825,0.819,0.877,0.801
Judge-Consistency,0.857,0.864,0.870,0.868
