rank,model,Coherence,Fluency,Relevance,Consistency,overall,n
1,openai_gpt-5-nano-2025-08-07,5.000,5.000,4.550,5.000,4.888,20
2,anthropic_claude-sonnet-4-20250514,4.950,5.000,4.600,5.000,4.887,20
3,anthropic_claude-opus-4-1-20250805,4.950,5.000,4.600,4.950,4.875,20
4,mistral_mistral-small-2506,5.000,5.000,4.550,4.950,4.875,20
5,ollama_mistral-small3.2:24b,5.000,5.000,4.450,5.000,4.862,20
6,mistral_mistral-medium-2505,4.950,5.000,4.500,4.950,4.850,20
7,ollama_phi4:14b,5.000,5.000,4.550,4.850,4.850,20
8,anthropic_claude-opus-4-20250514,4.950,5.000,4.500,4.900,4.838,20
9,ollama_granite4:tiny-h,4.950,5.000,4.400,4.850,4.800,20
10,ollama_mistral:7b,4.950,5.000,4.300,4.950,4.800,20
11,openai_gpt-4o-mini,5.000,5.000,4.200,5.000,4.800,20
12,ollama_granite3.3:2b,4.950,4.900,4.550,4.750,4.788,20
13,ollama_granite3.3:8b,4.950,5.000,4.300,4.900,4.787,20
14,mistral_mistral-medium-2508,4.895,5.000,4.316,4.895,4.776,19
15,mistral_mistral-large-2411,5.000,4.950,4.250,4.900,4.775,20
16,openai_gpt-5-2025-08-07,4.800,4.800,4.650,4.800,4.763,20
17,ollama_deepseek-r1:14b,4.900,5.000,4.300,4.800,4.750,20
18,ollama_gemma3:12b,4.900,5.000,4.300,4.800,4.750,20
19,openai_gpt-5-mini-2025-08-07,4.800,4.800,4.550,4.800,4.737,20
20,ollama_gpt-oss:20b,4.800,4.800,4.550,4.750,4.725,20
21,ollama_mistral-nemo:12b,4.950,5.000,4.150,4.750,4.713,20
22,openai_gpt-4.1-mini,4.800,4.800,4.350,4.800,4.688,20
23,ollama_granite4:micro-h,4.900,5.000,4.050,4.750,4.675,20
24,ollama_qwen3:8b,4.800,4.800,4.400,4.700,4.675,20
25,openai_gpt-4.1,4.800,4.800,4.200,4.800,4.650,20
26,huggingface:chat_swiss-ai/Apertus-8B-Instruct-2509,4.900,4.900,4.000,4.700,4.625,20
27,ollama_llama3.1:8b,5.000,5.000,3.900,4.600,4.625,20
28,mistral_magistral-medium-2509,4.800,4.800,4.050,4.800,4.612,20
29,ollama_granite4:small-h,4.800,4.950,3.900,4.800,4.612,20
30,ollama_qwen3:4b,4.800,4.800,4.100,4.750,4.612,20
31,ollama_PetrosStav/gemma3-tools:4b,4.900,5.000,3.950,4.550,4.600,20
32,ollama_gemma3:4b,4.900,5.000,4.000,4.500,4.600,20
33,openai_gpt-4o,4.800,4.800,4.000,4.800,4.600,20
34,openai_gpt-3.5-turbo,4.800,4.800,4.000,4.750,4.588,20
35,ollama_llama3.2:3b,4.800,5.000,3.950,4.550,4.575,20
36,ollama_granite4:micro,4.850,4.900,3.850,4.600,4.550,20
37,anthropic_claude-3-5-haiku-20241022,4.750,4.800,3.900,4.700,4.538,20
38,ollama_deepseek-r1:7b,4.750,4.700,4.050,4.300,4.450,20
39,ollama_deepseek-r1:8b,4.600,4.750,3.750,4.400,4.375,20
40,huggingface:chat_Uni-SMART/SciLitLLM1.5-14B,4.500,4.950,3.350,4.650,4.362,20
41,ollama_phi3:3.8b,4.750,4.700,3.850,4.100,4.350,20
42,ollama_llama3.2:1b,4.750,4.950,3.850,3.800,4.337,20
43,ollama_gemma3:270M,4.400,4.750,3.700,4.000,4.213,20
44,ollama_gemma3:1b,4.500,4.850,3.650,3.800,4.200,20
45,huggingface:chat_Uni-SMART/SciLitLLM1.5-7B,4.200,4.900,2.900,4.750,4.188,20
46,ollama_deepseek-r1:1.5b,4.300,4.850,3.200,3.800,4.037,20
47,ollama_medllama2:7b,4.150,4.350,3.050,3.900,3.863,20
48,huggingface_google/pegasus-cnn_dailymail,3.800,4.300,2.250,4.450,3.700,20
49,local:textrank,3.450,4.850,1.700,4.800,3.700,20
50,huggingface:conversational_BioMistral/BioMistral-7B,3.300,3.450,3.050,4.650,3.613,20
51,huggingface_facebook/bart-large-cnn,3.500,4.100,2.000,4.600,3.550,20
52,local:frequency,2.800,4.900,1.550,4.900,3.538,20
53,huggingface_AlgorithmicResearchGroup/led_large_16384_arxiv_summarization,3.350,3.100,2.750,3.950,3.287,20
54,huggingface_google-t5/t5-large,3.300,3.150,2.200,4.150,3.200,20
55,huggingface_google/pegasus-xsum,3.250,4.300,1.650,3.550,3.188,20
56,huggingface:chat_aaditya/OpenBioLLM-Llama3-8B,3.100,4.000,1.700,3.400,3.050,20
57,huggingface_google-t5/t5-base,2.800,2.500,2.300,4.300,2.975,20
58,huggingface_google/pegasus-large,2.300,3.600,1.650,4.300,2.963,20
59,huggingface:completion_microsoft/biogpt,2.250,3.250,1.150,2.600,2.312,20
60,huggingface_facebook/bart-base,1.900,1.550,1.850,2.250,1.888,20
61,huggingface_csebuetnlp/mT5_multilingual_XLSum,1.700,3.000,1.100,1.550,1.838,20
62,huggingface_google/pegasus-pubmed,1.800,1.900,1.450,1.300,1.613,20
63,huggingface_google/bigbird-pegasus-large-pubmed,1.400,2.050,1.100,1.150,1.425,20
